Do The Kegel,Upper Tan Corridor > Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/113665710/do-the-kegel,5.10a,39.51669,-105.39578,Upper Tan Corridor,Tan Corridor
Doc's Holiday,2. Blazing Saddles > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/113259130/docs-holiday,5.10a,39.50346,-105.37002,2. Blazing Saddles,Dines Cliff
Done with the City,6. The Lower East Side > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119646618/done-with-the-city,5.11a/b,39.50337,-105.36885,6. The Lower East Side,Dines Cliff
Donuts and Nicotine,Main Wall > Roughneck Area > Old Mill Area > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/108150677/donuts-and-nicotine,5.10+,39.52249,-105.39054,Main Wall,Roughneck Area
"Dr. Julius Strangepork, Pigs in Space",The Whistle Pig > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/108361112/dr-julius-strangepork-pigs-in-space,5.10,39.5161,-105.3982,The Whistle Pig,Staunton Rocks
Dungeon Traverse,The Dungeon > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119662436/dungeon-traverse,5.12a,39.5168,-105.3962,The Dungeon,Staunton Rocks
Earn Money Sleeping,The Cascades Wall > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/114595172/earn-money-sleeping,5.10a,39.51607,-105.39462,The Cascades Wall,Meadow Dome
Elwood P. Dowd,Permission Wall > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/109360389/elwood-p-dowd,5.10b/c,39.51583,-105.39601,Permission Wall,Meadow Dome
Endless Summer,Never Winter Wall > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/120643555/endless-summer,5.10b,39.51474,-105.38692,Never Winter Wall,Staunton State Park
Ever Abel,Chimney Rock > Elk Creek Spires > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/117796315/ever-abel,5.11b,39.50653,-105.4142,Chimney Rock,Elk Creek Spires
Exfoliation Station,Main Wall > Roughneck Area > Old Mill Area > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/120939902/exfoliation-station,5.11b/c,39.52249,-105.39054,Main Wall,Roughneck Area
False Advertising,Never Winter Wall > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/120643497/false-advertising,5.10b,39.51474,-105.38692,Never Winter Wall,Staunton State Park
Fight Secondary,The Raven > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119272713/fight-secondary,5.11a,39.50262,-105.36836,The Raven,Staunton State Park
Finger Locks and Bagels,6. The Lower East Side > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119646303/finger-locks-and-bagels,5.10a,39.50337,-105.36885,6. The Lower East Side,Dines Cliff
Flight Bombay,The Raven > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119501992/flight-bombay,5.10d,39.50262,-105.36836,The Raven,Staunton State Park
Flight Primary,The Raven > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/114335819/flight-primary,5.10c,39.50262,-105.36836,The Raven,Staunton State Park
Follow That Thief,2. Canyon Amphitheater > The Pooka > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/113538998/follow-that-thief,5.9+,39.5157,-105.39341,2. Canyon Amphitheater,The Pooka
Footprints On The Moon,3. Astronomy Wall > The Pooka > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/117762923/footprints-on-the-moon,5.10b,39.51539,-105.39388,3. Astronomy Wall,The Pooka
